CallId;CallReceiveTone;CallType;Name
2041073;off;private;PD2TH Theo
2041082;off;private;PD2TK Patrick
2046001;off;private;PD2WGN Walter
2046107;off;private;PD2WGN. Walter
2042139;off;private;PD2ZAP Jan
2048081;off;private;PD3BB Ben
2047092;off;private;PD3BW Bonne
2042309;off;private;PD3DMN Danny
2042245;off;private;PD3EEF Eef
2046135;off;private;PD3H Henk
2042080;off;private;PD3HBR Hans
2044129;off;private;PD3HF Patrick
2044110;off;private;PD3JAG Jan
2046190;off;private;PD3JTB Johan
2047090;off;private;PD3KLV Klaas
2041057;off;private;PD3LKN Eric
2041005;off;private;PD3LTX Etienne
2041012;off;private;PD3LVS Lucia
2043114;off;private;PD3PVO Peter
2044006;off;private;PD3R Ralph
2046146;off;private;PD3RJJ Rob
2047117;off;private;PD3RVA Robert
2042024;off;private;PD3RVO Ruud
2042143;off;private;PD3T Terence
2046088;off;private;PD3TB Theo
2043092;off;private;PD3UTR Ronald
2042011;off;private;PD3VKF Pieter
2042202;off;private;PD3WDK Ewoud
2044075;off;private;PD4AVO Michel
2045081;off;private;PD4AZM Toine
2041206;off;private;PD4BRT Bert
2041197;off;private;PD4CCV Rene
2043064;off;private;PD4D David
2042180;off;private;PD4DFT Ton
2048020;off;private;PD4DX Jelle
2042095;off;private;PD4DYH Danielle
2042199;off;private;PD4F Fred
2044022;off;private;PD4FMJ Frans
2041091;off;private;PD4HB Hildo
2042314;off;private;PD4IDF Paul
2045030;off;private;PD4J Jerry
2043137;off;private;PD4JS Jeroen
2042210;off;private;PD4KK Kees
2042105;off;private;PD4LIJ Richard
2048175;off;private;PD4MK Marcel
2044135;off;private;PD4MM Marcel
2042316;off;private;PD4MSW Monica
2044001;off;private;PD4RS Ruud
2044002;off;private;PD4RS. Ruud
2041027;off;private;PD4RT Peter
2047163;off;private;PD4S David
2042101;off;private;PD4SRL Sjaak
2045052;off;private;PD4TX Wil
2044118;off;private;PD4ZWK Mario
2046081;off;private;PD5A Adri
2048184;off;private;PD5AR Izaak
2043110;off;private;PD5BUS Rob
2046059;off;private;PD5CVK Cees
2044049;off;private;PD5CW Jeroen
2042072;off;private;PD5EE Edwin
2044086;off;private;PD5GB Ger
2046019;off;private;PD5HKR Herman
2048009;off;private;PD5HW Harrie
2047107;off;private;PD5JK Jacob
2048124;off;private;PD5KW Kevin
2041200;off;private;PD5MAX Max
2046014;off;private;PD5MJF Hans
2042050;off;private;PD5P Peter
2043122;off;private;PD5PS Pons
2043080;off;private;PD5R Rogier
2042069;off;private;PD5RD Rene
2048046;off;private;PD5RFX Allert
2041116;off;private;PD5RK Robert
2048176;off;private;PD5RR Folmer
2041127;off;private;PD5RVG Ron
2047115;off;private;PA5VEN Sven
2042159;off;private;PD7A Ron
2042150;off;private;PD7HL Hans
2044108;off;private;PD7HN Jan
2048042;off;private;PD7JLP Willem
2041145;off;private;PD7RF Frits
2047128;off;private;PD7RW Rene
2044070;off;private;PD7S Santino
2045151;off;private;PD7WL Willem-Jan
2042209;off;private;PD8A Steven
2045124;off;private;PD8ARP Barbara
